Entity_Type,ID,Department,Tenure_Years,Tech_Adoption_Level,AI_Restriction_Status,Year,Hours_Saved_Lesson_Planning_Per_Week,PPTs_Created_Per_Month,Assignments_Graded_Per_Semester,Grading_Quality_Score,Grading_Time_Hours_Per_Semester,Hours_Saved_Admin_Per_Week,Students_Monitored,At_Risk_Students_Identified,Intervention_Success_Rate
Professor,PROF_001,Data Science,8,Moderate,Full Adoption,2022,0.6,3,68,0.76,13.84,0.17,27,4,0.403
Professor,PROF_001,Data Science,8,Moderate,Full Adoption,2023,2.94,7,109,0.837,8.73,0.78,51,10,0.551
Professor,PROF_001,Data Science,8,Moderate,Full Adoption,2024,3.07,9,178,0.908,4.19,3.95,84,19,0.774
Professor,PROF_001,Data Science,8,Moderate,Full Adoption,2025,5.6,13,213,0.943,5.58,5.2,108,22,0.873
Professor,PROF_002,Data Science,15,Traditional,Full Adoption,2022,0.23,4,56,0.811,15.33,0.09,36,4,0.499
Professor,PROF_002,Data Science,15,Traditional,Full Adoption,2023,1.62,5,133,0.864,8.74,1.95,65,12,0.609
Professor,PROF_002,Data Science,15,Traditional,Full Adoption,2024,5.78,10,181,0.903,5.55,2.54,93,20,0.714
Professor,PROF_002,Data Science,15,Traditional,Full Adoption,2025,6.63,10,178,0.96,3.22,5.97,123,31,0.788
Professor,PROF_003,Engineering,12,Early Adopter,Partial Restriction,2022,0.39,1,91,0.786,12.46,0.17,16,3,0.352
Professor,PROF_003,Engineering,12,Early Adopter,Partial Restriction,2023,0.87,3,116,0.878,10.55,0.73,24,7,0.591
Professor,PROF_003,Engineering,12,Early Adopter,Partial Restriction,2024,2.77,6,133,0.915,6.09,1.14,66,25,0.599
Professor,PROF_003,Engineering,12,Early Adopter,Partial Restriction,2025,3.84,6,201,0.948,5.09,1.54,82,36,0.721
Professor,PROF_004,Engineering,5,Traditional,Full Adoption,2022,0.16,3,91,0.831,14.53,0.44,31,3,0.534
Professor,PROF_004,Engineering,5,Traditional,Full Adoption,2023,2.08,5,141,0.829,8.91,1.14,52,12,0.551
Professor,PROF_004,Engineering,5,Traditional,Full Adoption,2024,4.53,7,181,0.896,4.48,2.68,84,16,0.706
Professor,PROF_004,Engineering,5,Traditional,Full Adoption,2025,6.67,13,211,0.969,5.89,4.13,101,30,0.769
Professor,PROF_005,Liberal Arts,18,Early Adopter,Full Restriction,2022,0.01,1,81,0.841,12.96,0.0,9,1,0.338
Professor,PROF_005,Liberal Arts,18,Early Adopter,Full Restriction,2023,0.22,1,135,0.839,10.91,0.05,21,4,0.441
Professor,PROF_005,Liberal Arts,18,Early Adopter,Full Restriction,2024,0.33,1,192,0.902,4.75,0.1,26,5,0.495
Professor,PROF_005,Liberal Arts,18,Early Adopter,Full Restriction,2025,0.71,2,169,0.952,3.52,0.26,41,13,0.538
Professor,PROF_006,Engineering,19,Traditional,Full Restriction,2022,0.02,1,97,0.806,14.12,0.01,10,1,0.339
